[16-Dec-2021 12:06:09 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[16-Dec-2021 12:22:28 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[16-Dec-2021 12:31:15 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[16-Dec-2021 12:33:23 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[16-Dec-2021 13:08:04 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[16-Dec-2021 13:27:53 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[16-Dec-2021 13:28:39 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[17-Dec-2021 07:38:10 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[17-Dec-2021 08:38:24 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[17-Dec-2021 11:03:03 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[21-Dec-2021 10:07:24 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[05-Jan-2022 12:05:44 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[05-Jan-2022 12:05:54 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[05-Jan-2022 12:05:57 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[05-Jan-2022 12:06:07 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[17-Jan-2022 10:23:40 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
